Station,avg_rain,std_rain,max_rain,median_rain,total_rain,total_hours,max_24h,avg_24h,p95_24h,max_72h,rainy_hours,heavy_events,extreme_events,nemr_hours,sw_hours,latitude,longitude,district,rain_freq,heavy_rate,extreme_rate,nemr_rain_share,sw_rain_share,risk_score,risk_label
K Paramathi,4.20545746388443,13.330253616737071,200.0,1.0,2620.0,623,665.5,99.93258426966293,238.89999999999998,876.0,280,55,11,312,176,10.9575,77.91083333,Karur,0.449438202247191,0.08828250401284109,0.01765650080256822,0.5008025682182986,0.2825040128410915,0.5889655172413792,1
Kadambur_1,3.2054655870445345,6.0071125089233375,53.5,1.0,3167.0,988,287.5,76.48026315789474,180.94999999999993,506.0,391,81,11,582,99,8.992778,77.858889,Thoothukudi,0.395748987854251,0.08198380566801619,0.011133603238866396,0.5890688259109311,0.10020242914979757,0.3444827586206896,0
Kadayam,3.8324488248673236,13.107584802522075,200.0,1.0,5055.0,1319,970.5,91.66376042456406,307.89999999999964,1251.5,579,92,21,707,377,8.82444444,77.37055556,Tenkasi,0.43896891584533737,0.06974981046247157,0.01592115238817286,0.5360121304018196,0.28582259287338896,0.45206896551724135,1
Kalampatti,3.7051422319474834,7.377980458997668,65.5,1.0,3386.5,914,387.0,88.03336980306345,219.17499999999995,553.0,415,83,18,416,181,9.11,77.78222222,Thoothukudi,0.4540481400437637,0.09080962800875274,0.019693654266958426,0.4551422319474836,0.19803063457330417,0.570344827586207,1
Kalingarayan -ARG,3.223826714801444,6.307411967487403,65.0,1.0,1786.0,554,244.5,76.7283393501805,155.4000000000001,491.0,221,48,6,242,147,11.441389,77.676111,Erode,0.3989169675090253,0.08664259927797834,0.010830324909747292,0.4368231046931408,0.26534296028880866,0.3693103448275862,0
Kallakurichi,3.1037735849056602,11.514879737820417,200.0,0.5,2303.0,742,574.0,72.07277628032345,191.82499999999976,798.5,248,47,10,471,139,11.74111111,78.96416667,Kallakurichi,0.33423180592991913,0.06334231805929919,0.013477088948787063,0.6347708894878706,0.18733153638814015,0.27,0
Kamachipuram,3.6680522565320666,8.261875437093613,134.0,1.0,3088.5,842,317.5,86.34857482185274,183.94999999999993,498.5,411,68,12,437,196,10.51333333,77.86083333,Dindigul,0.48812351543942994,0.08076009501187649,0.014251781472684086,0.5190023752969121,0.2327790973871734,0.49896551724137933,1
Kamudhi -ARG,3.5460385438972164,6.1102781245618285,45.0,1.0,3312.0,934,456.5,84.67077087794432,174.39999999999964,653.5,459,94,9,478,209,9.412778,78.363056,Ramanathapuram,0.49143468950749464,0.1006423982869379,0.009635974304068522,0.5117773019271948,0.22376873661670235,0.5137931034482759,1
Kancheepuram,3.7509025270758123,6.924241556728689,99.0,1.5,4156.0,1108,266.5,89.08303249097473,154.32499999999993,572.0,581,97,17,510,463,12.82388889,79.69833333,Kancheepuram,0.5243682310469314,0.08754512635379061,0.015342960288808664,0.4602888086642599,0.41787003610108303,0.5817241379310345,1
Karaikudi -ARG,4.989684466019417,11.115250779911236,166.0,1.5,4111.5,824,422.5,118.70509708737865,210.3499999999999,612.0,432,110,22,395,248,10.075833,78.778611,Sivaganga,0.5242718446601942,0.13349514563106796,0.02669902912621359,0.47936893203883496,0.30097087378640774,0.8358620689655173,2
