Station,district,latitude,longitude,avg_rain,max_24h,heavy_rate,extreme_rate,rain_freq,risk_score,risk_label,risk_level
Vettikadu_1,Thanjavur,10.569722,79.195556,3.788220551378446,297.0,0.09022556390977443,0.011695906432748537,0.5020885547201337,0.5655172413793104,1,Moderate
Kiladayalam,Viluppuram,12.16722222,79.62055556,3.715695067264574,420.0,0.09417040358744394,0.011659192825112108,0.5049327354260089,0.5637931034482759,1,Moderate
Madurai_1,Madurai,9.940556,78.132778,3.7075623491552694,470.5,0.08608205953338696,0.02091713596138375,0.4690265486725664,0.560344827586207,1,Moderate
Ponneri,Tiruvallur,13.33138889,80.19527778,4.297704918032787,1565.0,0.08065573770491803,0.02098360655737705,0.4262295081967213,0.5589655172413793,1,Moderate
Koppampatti_1,Tiruchirappalli,11.3,78.496944,4.554931836407378,1522.0,0.07377706495589414,0.02967121090617482,0.4033680834001604,0.5551724137931034,1,Moderate
Ellis Anicut,Viluppuram,11.90305556,79.40527778,4.668571428571428,1198.0,0.07857142857142857,0.022857142857142857,0.3742857142857143,0.5541379310344827,1,Moderate
Raya Raghunatha Samudiram,Pudukkottai,10.25694444,78.81833333,3.7312217194570136,313.5,0.08778280542986425,0.017194570135746608,0.4669683257918552,0.5493103448275862,1,Moderate
Kottaram,Kanyakumari,8.11972222,77.52722222,3.97106824925816,594.5,0.07566765578635015,0.019287833827893175,0.4688427299703264,0.5379310344827586,1,Moderate
Lower Anicut,Thanjavur,11.14527778,79.45,4.693350831146106,1988.5,0.0726159230096238,0.016622922134733157,0.45144356955380577,0.5234482758620689,1,Moderate
Parthibanur Regulator,Ramanathapuram,9.63583333,78.47055556,3.921758569299553,422.0,0.08494783904619971,0.010432190760059613,0.503725782414307,0.5199999999999999,1,Moderate
Kamudhi -ARG,Ramanathapuram,9.412778,78.363056,3.5460385438972164,456.5,0.1006423982869379,0.009635974304068522,0.49143468950749464,0.5137931034482759,1,Moderate
Thirumangalam_1,Madurai,9.823611,77.988333,3.600632911392405,217.0,0.08860759493670886,0.017721518987341773,0.4341772151898734,0.5127586206896552,1,Moderate
Thanjavur,Thanjavur,10.77277778,79.13583333,3.773412271259419,545.5,0.08826695371367062,0.010764262648008612,0.4822389666307858,0.5117241379310344,1,Moderate
Mayiladumparai,Theni,9.78027778,77.51277778,3.650742115027829,312.0,0.09090909090909091,0.013914656771799629,0.4536178107606679,0.51,1,Moderate
Kazhugumalai_1,Thoothukudi,9.149444,77.702778,4.1225,1010.5,0.0775,0.0175,0.435,0.5086206896551725,1,Moderate
Sendurai_1,Ariyalur,11.259167,79.191389,3.5036687631027252,202.0,0.08490566037735849,0.013626834381551363,0.5188679245283019,0.5072413793103447,1,Moderate
Kamachipuram,Dindigul,10.51333333,77.86083333,3.6680522565320666,317.5,0.08076009501187649,0.014251781472684086,0.48812351543942994,0.49896551724137933,1,Moderate
Kulasekaram,Kanyakumari,8.35555556,77.28694444,3.767070484581498,1129.0,0.07488986784140969,0.020374449339207047,0.43997797356828194,0.4958620689655172,1,Moderate
Kodumudiyar dam,Tirunelveli,8.42638889,77.5275,4.360149672591207,1569.5,0.07015902712815715,0.013096351730589336,0.47427502338634236,0.4941379310344827,1,Moderate
Ponnanaiyar Dam_1,Tiruchirappalli,10.582222,78.265,3.6379310344827585,411.5,0.09226467847157502,0.009319664492078284,0.4930102516309413,0.4917241379310344,1,Moderate
Thiruthuraipoondi,Tiruvarur,10.53805556,79.63361111,3.652142857142857,523.5,0.08642857142857142,0.012142857142857143,0.47714285714285715,0.4868965517241379,1,Moderate
Cheyyar Anicut,Tiruvannamalai,12.59388889,79.38722222,3.560902896081772,319.0,0.07751277683134583,0.017035775127768313,0.48211243611584326,0.48344827586206895,1,Moderate
Kilnatcipatu,Tiruvannamalai,12.23916667,79.10666667,3.698336252189142,436.5,0.07267950963222417,0.01838879159369527,0.44395796847635727,0.4555172413793104,1,Moderate
Kadayam,Tenkasi,8.82444444,77.37055556,3.8324488248673236,970.5,0.06974981046247157,0.01592115238817286,0.43896891584533737,0.45206896551724135,1,Moderate
Trichycity,Tiruchirappalli,10.820703,78.693506,3.514705882352941,221.5,0.08288770053475936,0.0106951871657754,0.4919786096256685,0.45,1,Moderate
RedHills,Tiruvallur,13.18666667,80.18833333,3.837078651685393,673.0,0.0755873340143003,0.014300306435137897,0.41164453524004085,0.44793103448275867,1,Moderate
Sivagiri,Tenkasi,9.34666667,77.43361111,3.465909090909091,401.0,0.08922558922558922,0.01430976430976431,0.3947811447811448,0.44758620689655176,1,Moderate
Nambiyar,Tirunelveli,8.37083333,77.73861111,3.358156028368794,307.0,0.0851063829787234,0.01276595744680851,0.4666666666666667,0.44275862068965516,1,Moderate
Palayamkottai,Tirunelveli,8.72638889,77.71583333,3.3007751937984495,210.5,0.07751937984496124,0.013953488372093023,0.4806201550387597,0.43,1,Moderate
Mangalapuram,Namakkal,11.56583333,78.37861111,3.381564245810056,174.5,0.08268156424581005,0.0067039106145251395,0.5307262569832403,0.423448275862069,1,Moderate
